REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
3,5,14,5,4,4,3,1,2,0,0,4369,0,331.867,0,924.704,3112.429,345,0,26.206,0,73.02,245.774
2,4,12,1,4,5,2,1,1,1,1,22070,5082.284,1221.932,3788.68,932.586,11044.518,1723,396.773,95.396,295.781,72.807,862.243
3,5,15,2,4,5,3,1,3,1,1,14517,576.367,3211.004,0,2369.572,8360.057,1663,66.026,367.838,0,271.447,957.689
1,2,3,5,4,6,1,1,1,1,0,1634,0,0,0,797.226,836.774,280,0,0,0,136.612,143.388
2,4,11,2,4,1,1,1,1,0,0,1572,655.331,76.195,0,190.736,649.738,249,103.802,12.069,0,30.212,102.916
3,7,21,3,3,4,2,1,1,2,1,12914,2295.494,2991.948,2110.174,1051.298,4465.087,1599,284.226,370.46,261.28,130.171,552.863
1,2,3,4,4,1,1,1,1,1,0,3685,0,156.79,1713.482,828.447,986.282,900,0,38.293,418.489,202.334,240.883
3,7,21,2,3,4,5,2,0,0,1,17752,1644.276,5401.055,3020.526,1626.168,6059.974,2467,228.506,750.586,419.763,225.989,842.156
4,9,25,2,2,6,2,1,2,1,1,7151,0,981.611,0,1027.918,5141.472,943,0,129.445,0,135.551,678.004
3,7,21,2,3,8,5,2,6,1,0,20079,365.426,7013.026,0,2044.003,10656.546,2565,46.681,895.882,0,261.112,1361.325
3,7,21,2,3,7,4,1,2,1,1,14668,0,3552.261,0,760.966,10354.773,2046,0,495.495,0,106.145,1444.359
1,1,1,2,1,4,3,2,3,1,1,16129,664.874,1612.497,0,1665.485,12186.145,3077,126.841,307.623,0,317.732,2324.804
2,3,7,2,1,2,2,1,1,1,1,4468,0,0,0,380.523,4087.477,560,0,0,0,47.693,512.307
