REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
4,10,26,2,2,6,5,1,3,1,1,10758,0,1523.146,0,1002.561,8232.293,1898,0,268.724,0,176.879,1452.397
1,2,5,3,1,1,5,1,3,1,1,8937,584.716,135.056,0,1194.124,7023.104,1037,67.847,15.671,0,138.56,814.922
1,1,2,4,1,1,1,1,1,1,0,4447,0,56.663,0,935.006,3455.332,766,0,9.76,0,161.056,595.184
3,5,15,2,4,8,4,1,4,1,1,13666,0,4940.098,0,959.813,7766.088,1249,0,451.499,0,87.722,709.779
3,5,17,2,3,7,3,1,2,0,1,19427,1467.897,6242.346,2571.208,814.802,8330.747,2482,187.539,797.524,328.498,104.099,1064.339
3,5,15,2,4,6,5,2,5,1,1,10998,221.279,3684.505,0,841.097,6251.118,1003,20.18,336.021,0,76.707,570.092
3,6,18,2,4,3,2,1,2,2,1,7822,0,667.117,2291.384,727.207,4136.292,803,0,68.488,235.24,74.656,424.643
3,5,17,2,3,3,4,1,5,1,1,19697,595.932,5885.017,2304.035,875.922,10036.094,2459,74.397,734.693,287.639,109.351,1252.919
1,1,2,2,1,1,3,2,3,1,1,7847,1135.334,144.39,0,1216.216,5351.06,1258,182.012,23.148,0,194.979,857.861
1,1,1,1,1,4,2,1,1,0,1,8720,0,0,2353.556,963.033,5403.412,1409,0,0,380.294,155.609,873.097
1,2,3,5,1,4,3,1,1,0,1,4922,0,176.715,0,701.645,4043.64,585,0,21.003,0,83.393,480.603
4,10,27,4,5,5,4,1,3,0,1,14121,3677.399,0,3986.862,975.256,5481.483,1437,374.224,0,405.716,99.245,557.814
4,8,22,3,1,5,2,1,3,1,1,8957,0,420.355,0,965.264,7571.381,666,0,31.256,0,71.772,562.972
4,10,26,2,5,7,5,2,3,1,1,6150,0,0,0,1728.904,4421.096,765,0,0,0,215.059,549.941
1,1,1,4,1,4,2,1,2,1,1,4284,330.489,200.442,0,527.521,3225.548,936,72.208,43.794,0,115.257,704.742
3,7,21,4,3,4,2,1,1,1,1,9007,2261.205,1340.029,2687.704,661.998,2056.064,1115,279.92,165.886,332.718,81.95,254.526
4,10,26,5,2,1,1,1,1,2,0,1181,0,0,0,700.225,480.775,0,0,0,0,0,0
2,3,7,4,1,5,1,1,2,0,0,2309,0,0,0,419.692,1889.308,309,0,0,0,56.165,252.835
4,10,26,5,2,2,1,1,1,1,0,2057,0,0,763.886,633.924,659.189,303,0,0,112.522,93.378,97.1
1,1,2,2,1,2,4,2,5,1,1,11628,622.336,204.793,0,2646.994,8153.878,2177,116.514,38.341,0,495.571,1526.573
2,4,12,1,4,4,2,1,1,0,1,8544,0,1096.663,0,2643.859,4803.478,703,0,90.233,0,217.537,395.23
3,5,17,2,3,7,5,1,3,2,1,19712,2553.702,5841.284,2708.722,1754.163,6854.129,2342,303.408,694.008,321.826,208.414,814.345
2,4,10,2,1,5,1,1,1,1,0,9285,0,122.227,1855.995,1120.733,6186.045,927,0,12.203,185.3,111.892,617.605
1,1,1,2,1,4,2,2,3,1,1,6705,0,486.269,0,1521.066,4697.665,1393,0,101.025,0,316.01,975.965
2,3,7,2,4,2,2,2,6,1,1,12016,0,1281.821,0,2424.908,8309.271,1205,0,128.545,0,243.177,833.278
2,4,12,1,4,6,4,1,4,0,1,37083,7005.675,2999.244,6449.823,1722.29,18905.968,2915,550.698,235.763,507.004,135.385,1486.15
1,2,3,4,4,6,1,1,2,0,0,4475,0,234.319,1722.588,1390.477,1127.616,768,0,40.214,295.631,238.634,193.522
2,4,12,2,4,1,2,2,5,0,1,14562,1288.382,2712.237,0,1532.788,9028.593,1053,93.165,196.126,0,110.838,652.871
2,4,12,2,4,7,2,1,2,1,1,27600,8513.047,1060.991,0,3961.32,14064.643,1686,520.036,64.813,0,241.985,859.166
2,4,12,2,4,3,2,2,3,0,0,16254,3925.869,1487.142,2560.023,889.19,7391.776,1508,364.231,137.973,237.512,82.497,685.788
2,4,10,2,1,3,2,1,3,0,1,7265,499.206,432.167,0,627.221,5706.406,622,42.74,37,0,53.7,488.559
2,3,9,3,1,4,1,1,1,1,0,2943,0,120.707,0,527.94,2294.353,403,0,16.529,0,72.294,314.177
1,2,3,2,1,2,2,1,1,1,1,3138,456.757,55.432,0,461.202,2164.609,570,82.954,10.068,0,83.762,393.127
4,10,26,4,2,1,6,1,2,2,1,3608,873.525,0,0,470.809,2263.666,335,81.106,0,0,43.714,210.18
4,10,26,2,2,5,2,1,2,1,0,3671,1125.509,343.817,0,311.377,1890.297,381,116.813,35.684,0,32.317,196.187
2,3,8,2,1,4,3,2,3,1,1,9243,0,583.272,0,1591.863,7067.865,1197,0,75.536,0,206.152,915.313
4,10,26,2,2,1,6,2,4,1,1,4798,703.324,150.23,0,775.92,3168.526,466,68.309,14.591,0,75.36,307.739
3,6,18,2,4,6,2,1,1,1,1,21322,5443.731,1248.792,4214.201,1585.799,8829.477,1932,493.26,113.154,381.851,143.69,800.045
2,4,10,2,1,7,5,4,6,1,0,20967,4360.327,316.808,3314.661,1924.921,11050.284,2248,467.497,33.967,355.385,206.382,1184.768
1,1,1,5,1,2,1,1,2,0,0,3214,0,63.091,0,876.95,2273.959,601,0,11.798,0,163.985,425.218
4,10,26,4,2,2,3,1,1,2,1,3693,0,769.136,0,1024.175,1899.69,458,0,95.387,0,127.017,235.597
1,2,3,2,4,4,1,2,4,0,0,7366,0,1092.829,0,1171.639,5101.533,1763,0,261.561,0,280.423,1221.016
3,5,15,2,4,7,4,1,4,1,1,18609,667.98,3676.64,0,1835.851,12428.529,2100,75.381,414.904,0,207.173,1402.542
3,6,18,3,3,4,1,1,1,1,0,3552,0,1961.511,0,541.39,1049.099,590,0,325.814,0,89.927,174.259
1,2,5,3,1,5,3,1,4,1,0,12810,3433.772,847.442,2924.113,875.634,4729.04,1126,301.829,74.49,257.03,76.968,415.683
1,2,3,2,1,7,2,2,1,2,1,10487,0,314.548,0,2002.126,8170.326,1800,0,53.989,0,343.647,1402.364
1,2,3,5,4,1,1,1,1,0,0,2212,0,649.947,0,865.969,696.084,664,0,195.16,0,260.025,209.014
2,3,9,4,1,6,1,1,1,1,0,5269,2969.51,28.056,0,579.732,1691.702,716,403.524,3.812,0,78.779,229.884
3,7,21,5,3,4,1,1,1,1,0,11344,2901.781,1986.681,2079.437,1099.145,3276.956,1405,359.397,246.058,257.547,136.134,405.864
3,5,13,2,4,1,1,1,2,1,0,11650,3596.451,862.863,2304.788,748.337,4137.561,1335,412.125,98.877,264.111,85.754,474.133
4,8,23,2,1,7,4,1,4,1,1,16675,0,2962.69,0,1607.358,12104.951,1698,0,301.688,0,163.676,1232.636
3,5,16,2,4,4,1,1,1,1,0,12748,3661.061,1859.428,1648.267,1112.919,4466.325,972,279.146,141.776,125.676,84.857,340.545
1,2,5,2,4,5,5,1,2,1,1,1891,65.833,216.766,480.779,171.686,955.936,343,11.941,39.318,87.206,31.141,173.393
3,7,21,2,3,3,2,1,2,0,1,14590,1283.852,6926.098,0,979.33,5400.72,2349,206.701,1115.107,0,157.673,869.52
1,1,1,5,1,5,2,1,1,0,1,3475,0,102.816,0,959.466,2412.718,569,0,16.835,0,157.104,395.061
4,10,27,5,5,6,4,1,2,1,1,10280,2485.965,0,2536.591,441.765,4815.679,1019,246.42,0,251.438,43.79,477.352
3,6,18,2,4,8,1,1,1,0,0,5193,0,773.836,1152.936,895.846,2370.383,833,0,124.13,184.94,143.701,380.229
1,1,2,2,1,5,4,2,3,0,1,8493,0,0,0,1908.143,6584.857,1375,0,0,0,308.925,1066.075
2,3,9,2,1,1,2,1,2,1,1,5988,0,513.586,0,1139.05,4335.364,805,0,69.044,0,153.129,582.827
4,10,27,5,5,5,2,1,1,0,1,2240,834.725,0,730.852,165.675,508.748,288,107.322,0,93.967,21.301,65.41
4,8,23,2,1,5,1,1,2,1,0,4428,0,741.742,0,939.128,2747.13,394,0,66.011,0,83.577,244.48
4,10,26,2,2,4,2,1,1,0,1,9240,343.298,3147.654,0,792.914,4956.134,970,36.039,330.436,0,83.239,520.287
2,4,10,2,1,1,1,1,1,1,0,8298,0,547.07,0,669.479,7081.451,698,0,46.018,0,56.314,595.668
2,4,10,5,1,7,1,1,1,1,0,3325,1446.68,140.759,823.157,516.203,398.202,515,224.072,21.802,127.496,79.953,61.676
3,6,19,2,4,4,2,1,3,0,1,16909,3445.76,1427.614,2377.327,1449.341,8208.958,1456,296.707,122.929,204.707,124.8,706.857
3,5,15,3,3,5,2,1,2,1,0,23220,4211.903,4270.847,4001.084,1986.122,8750.044,2436,441.869,448.053,419.752,208.363,917.963
3,7,20,5,4,6,2,1,3,1,0,9333,1982.57,1182.88,1747.762,686.62,3733.168,1000,212.426,126.742,187.267,73.569,399.997
4,8,22,4,1,7,3,1,3,1,1,8323,0,0,0,1617.728,6705.272,617,0,0,0,119.918,497.044
3,5,16,2,4,1,3,1,3,1,1,18263,2598.467,2035.411,2420.232,938.524,10270.367,1825,259.662,203.396,241.851,93.786,1026.306
1,1,1,5,1,5,1,1,2,2,0,2895,0,292.365,0,992.026,1610.608,474,0,47.869,0,162.425,263.706
4,10,27,2,5,3,2,2,4,1,1,13725,0,0,0,2349.142,11375.858,1359,0,0,0,232.604,1126.396
2,4,12,2,4,7,3,2,3,1,1,13897,404.779,3494.382,0,2097.727,7900.112,1490,43.399,374.659,0,224.913,847.029
3,5,16,2,4,2,1,1,3,1,0,10617,1994.453,1872.253,1149.962,808.06,4792.272,937,176.02,165.235,101.49,71.315,422.94
4,10,27,2,1,4,3,1,2,1,1,11563,1277.793,0,0,1564.129,8721.079,1835,202.78,0,0,248.221,1383.999
1,2,4,4,4,6,1,1,1,0,0,3448,0,283.001,0,876.533,2288.466,637,0,52.283,0,161.935,422.782
2,3,7,2,4,2,1,1,2,1,0,4976,312.609,1108.942,0,533.574,3020.875,532,33.433,118.6,0,57.065,323.078
4,10,26,4,2,2,6,2,2,0,1,3519,0,0,0,1318.685,2200.315,324,0,0,0,121.413,202.587
3,6,19,2,4,6,2,1,3,0,1,20770,4302.256,1811.03,3287.58,1925.293,9443.841,1931,399.983,168.373,305.648,178.996,878
2,4,12,2,4,1,2,1,1,0,1,4059,0,231.014,0,457.346,3370.64,325,0,18.524,0,36.673,270.28
2,3,6,2,1,6,2,1,6,0,1,10627,376.376,573.507,0,1364.776,8312.342,1305,46.219,70.427,0,167.595,1020.759
1,1,2,5,1,1,1,1,2,2,0,2011,0,97.735,0,530.142,1383.123,335,0,16.281,0,88.313,230.406
2,4,11,3,4,6,2,2,4,2,1,7889,0,1792.098,0,1889.273,4207.628,800,0,181.729,0,191.582,426.675
3,5,16,2,4,4,5,1,2,0,1,14232,4681.073,633.053,0,1493.384,7424.49,1529,502.906,68.011,0,160.44,797.642
1,2,5,2,1,1,1,2,1,0,0,2777,0,0,0,611.664,2165.336,395,0,0,0,87.003,307.997
2,4,10,2,1,4,6,2,6,1,1,33223,6913.533,1157.343,6053.319,2179.504,16919.3,1672,347.934,58.245,304.643,109.687,851.491
3,5,15,2,4,8,1,1,3,1,0,10053,0,2035.635,0,1611.476,6405.889,1190,0,240.963,0,190.755,758.282
3,7,21,2,2,3,2,1,3,1,1,11123,0,3414.902,0,1079.27,6628.828,965,0,296.267,0,93.634,575.098
1,1,2,4,1,1,2,2,3,0,1,4291,0,273.369,0,1121.735,2895.896,552,0,35.166,0,144.302,372.532
1,1,2,2,1,6,1,1,1,1,0,3769,0,0,0,553.755,3215.245,647,0,0,0,95.06,551.94
4,10,26,5,2,5,3,1,2,1,0,8989,1775.199,1635.176,0,1255.429,4323.196,1020,201.435,185.547,0,142.456,490.562
4,9,24,2,2,6,1,1,3,1,0,18245,766.389,8444.953,2120.503,865.144,6048.011,2100,88.211,972.014,244.07,99.578,696.126
4,8,23,2,1,1,2,2,1,0,1,14608,0,0,2840.644,1743.213,10024.143,1115,0,0,216.821,133.056,765.123
3,7,21,2,2,4,2,1,3,0,0,4478,0,1450.6,0,859.338,2168.062,559,0,181.082,0,107.273,270.645
1,1,2,3,1,6,1,1,6,1,0,17093,4170.42,499.266,2954.62,271.562,9197.133,2848,694.867,83.187,492.293,45.247,1532.407
1,2,3,4,4,1,5,1,2,2,1,3408,0,0,0,856.388,2551.612,997,0,0,0,250.534,746.466
3,7,21,5,3,6,1,1,2,1,0,5689,912.488,1292.447,960.986,480.01,2043.069,692,110.993,157.211,116.893,58.388,248.515
2,4,12,2,4,4,2,1,2,0,1,24115,5903.943,3185.955,4302.102,960.304,9762.696,2018,494.056,266.608,360.01,80.361,816.965
2,4,11,2,1,3,2,1,2,0,1,18216,2699.458,1361.757,0,1671.079,12483.706,1180,174.866,88.212,0,108.25,808.672
4,10,26,2,2,2,4,1,1,1,0,8215,0,0,0,1131.81,7083.19,1526,0,0,0,210.242,1315.758
1,2,3,2,4,1,5,1,4,1,1,8964,0,401.296,0,1051.781,7510.922,1883,0,84.297,0,220.94,1577.763
2,3,6,2,1,1,4,2,3,1,0,7059,420.283,323.068,0,1070.77,5244.879,916,54.537,41.922,0,138.947,680.593
3,5,14,2,4,6,1,1,4,0,0,17901,4507.294,2047.952,2366.955,1762.723,7216.075,1793,451.46,205.127,237.079,176.558,722.777
3,5,17,2,3,7,3,1,4,1,1,16906,0,8095.841,0,1671.661,7138.498,2272,0,1088.001,0,224.655,959.344
1,1,2,2,1,3,2,1,2,0,1,17167,4299.78,208.186,3215.58,934.445,8509.01,3093,774.697,37.509,579.355,168.36,1533.079
1,1,1,2,1,1,2,1,1,0,0,5270,0,132.502,0,1383.641,3753.857,848,0,21.321,0,222.643,604.036
3,7,21,2,3,1,2,1,1,1,0,11721,2042.736,2464.138,2109.94,570.153,4534.032,1451,252.88,305.048,261.2,70.582,561.29
3,5,17,2,3,1,1,1,3,1,0,14263,779.038,5671.016,0,1832.21,5980.735,1916,104.651,761.808,0,246.127,803.414
2,4,10,2,1,3,4,1,3,0,1,9189,0,196.336,0,911.572,8081.092,1072,0,22.905,0,106.345,942.75
3,6,18,2,4,2,2,1,4,1,1,17003,473.35,3946.186,2492.043,881.988,9209.433,1911,53.201,443.52,280.085,99.128,1035.066
1,2,4,2,1,4,2,2,3,0,1,15323,0,1018.87,0,2302.411,12001.718,2768,0,184.052,0,415.916,2168.032
1,1,1,2,1,4,2,2,4,0,1,9792,971.653,50.44,1697.399,1787.025,5285.483,1603,159.064,8.257,277.873,292.545,865.26
4,9,24,2,2,7,2,1,3,1,1,13152,0,4865.854,0,1035.869,7250.277,1555,0,575.304,0,122.474,857.222
4,10,27,2,5,5,2,1,2,1,1,5836,0,0,1803.101,886.895,3146.004,566,0,0,174.872,86.015,305.113
4,10,26,1,2,5,1,1,2,1,0,3686,898.955,450.976,0,350.042,1986.027,448,109.26,54.812,0,42.544,241.384
2,4,12,2,4,6,2,1,3,1,0,16143,3751.476,2129.422,2101.082,1808.629,6352.391,1002,232.855,132.174,130.415,112.262,394.294
2,4,10,2,1,3,2,1,4,2,1,11666,669.03,1282.919,0,1414.385,8299.667,965,55.346,106.13,0,117.005,686.594
1,2,3,5,4,1,2,1,1,1,1,6173,2415.571,0,2204.542,512.538,1040.349,1059,414.4,0,378.197,87.928,178.475
4,8,22,2,1,2,4,1,5,1,0,4737,0,0,0,564.304,4172.696,529,0,0,0,63.018,465.982
2,4,10,2,1,6,2,2,1,1,1,11452,0,674.103,0,3361.312,7416.585,1344,0,79.112,0,394.482,870.406
3,5,17,2,3,7,2,1,2,1,1,12851,1405.979,2551.907,1778.794,1090.331,6023.989,1330,145.51,264.107,184.094,112.843,623.446
3,5,16,2,4,6,2,2,3,1,1,23757,3366.448,3409.792,2471.688,2735.559,11773.513,2374,336.404,340.735,246.992,273.36,1176.509
3,6,18,2,4,6,1,1,2,1,0,13569,4135.583,1065.364,2155.701,1106.729,5105.624,1671,509.29,131.198,265.471,136.292,628.749
2,4,10,2,1,1,2,1,2,1,0,10042,868.383,211.731,0,1233.607,7728.279,1065,92.096,22.455,0,130.83,819.619
4,10,27,2,1,4,2,2,2,1,1,10606,0,5.355,0,1760.568,8840.077,1677,0,0.847,0,278.378,1397.776
2,4,12,2,4,2,2,1,2,0,1,14779,496.024,3448.626,2505.88,1759.801,6568.669,1122,37.657,261.815,190.243,133.601,498.684
3,5,15,5,4,6,3,1,2,0,1,5428,706.196,1582.452,0,578.966,2560.387,619,80.533,180.46,0,66.024,291.982
2,3,6,2,1,1,2,1,1,1,0,4769,510.545,1194.299,0,810.105,2254.051,645,69.05,161.527,0,109.565,304.857
2,4,10,2,1,4,2,2,3,0,1,25800,7517.115,478.937,3926.21,3911.932,9965.806,2200,641.101,40.846,334.849,333.631,849.938
1,2,5,2,1,2,4,2,7,1,1,11802,0,787.645,0,1001.284,10013.071,1589,0,106.047,0,134.811,1348.142
2,4,10,2,1,8,2,1,4,1,0,7450,0,333.957,0,828.959,6287.083,751,0,33.665,0,83.564,633.772
4,10,26,5,2,4,2,1,2,1,1,4491,0,266.868,1559.283,621.343,2043.505,590,0,35.06,204.849,81.628,268.463
3,5,17,5,3,3,2,1,2,0,1,5380,674.296,1559.041,1006.523,567.663,1572.477,727,91.118,210.673,136.012,76.708,212.489
1,1,2,5,1,7,1,1,2,0,0,6199,579.272,70.256,1964.339,918.481,2666.652,1033,96.53,11.707,327.337,153.055,444.37
3,5,17,2,3,4,2,1,1,0,1,15167,583.824,6753.706,1566.176,528.506,5734.787,1693,65.169,753.875,174.823,58.994,640.139
3,6,19,2,4,8,2,2,2,1,1,19218,4180.14,3273.551,3097.56,2285.083,6381.666,1670,363.245,284.464,269.171,198.568,554.552
2,3,9,4,1,1,2,1,2,1,0,5226,0,141.316,0,530.391,4554.293,700,0,18.929,0,71.044,610.028
3,7,21,2,3,6,2,1,2,1,0,15969,2391.285,3904.065,2345.312,1619.162,5709.177,1977,296.064,483.36,290.372,200.468,706.85
4,8,22,3,1,5,1,1,5,0,0,6595,436.411,415.077,0,641.21,5102.302,705,46.664,44.382,0,68.562,545.568
1,2,3,4,4,4,2,1,2,0,0,6277,0,232.056,0,1248.953,4795.99,1306,0,48.282,0,259.859,997.859
4,10,26,2,2,3,2,2,3,0,1,7863,0,937.142,0,1633.428,5292.429,685,0,81.641,0,142.299,461.06
1,2,3,5,1,2,1,1,1,0,0,4702,0,129.179,0,1953.987,2618.833,720,0,19.781,0,299.207,401.012
2,3,6,2,1,2,1,1,3,0,0,4028,0,377.18,0,629.528,3021.292,553,0,51.783,0,86.427,414.79
1,1,1,2,1,1,4,2,2,1,1,2742,124.987,78.821,0,365.351,2172.842,456,20.786,13.108,0,60.759,361.348
1,1,2,2,1,1,2,1,1,1,1,873,0,67.844,0,225.471,579.685,187,0,14.532,0,48.297,124.171
1,2,4,2,1,6,5,3,4,0,1,4243,0,350.203,0,732.193,3160.604,776,0,64.049,0,133.91,578.041
4,8,23,2,1,2,8,1,6,1,1,11341,362.613,238.205,0,812.714,9927.468,1024,32.741,21.508,0,73.381,896.37
2,4,10,2,1,4,3,1,2,1,0,8526,0,240.015,0,1398.742,6887.244,851,0,23.956,0,139.612,687.432
3,7,21,2,3,3,3,1,1,0,1,6781,1234.656,1704.256,0,813.674,3028.415,840,152.944,211.116,0,100.794,375.146
1,2,3,5,1,3,5,1,4,1,0,9956,2071.304,105.474,1978.107,443.228,5357.887,975,202.845,10.329,193.718,43.406,524.703
4,10,27,2,5,5,3,3,3,1,1,8909,0,0,0,1871.857,7037.143,856,0,0,0,179.853,676.147
2,4,10,5,1,5,1,1,1,1,0,1345,0,25.458,0,395.427,924.115,289,0,5.47,0,84.965,198.564
4,10,26,2,2,6,6,2,6,0,1,27651,0,8575.636,0,2921.752,16153.613,2217,0,687.577,0,234.26,1295.163
3,7,21,4,3,6,1,1,1,2,0,5775,1296.862,1130.923,1358.765,704.434,1284.016,812,182.347,159.015,191.051,99.048,180.54
4,10,26,5,2,4,4,1,1,1,0,4960,0,298.174,0,761.033,3900.792,731,0,43.945,0,112.16,574.895
1,2,4,2,1,2,2,2,2,1,0,8520,0,1028.598,0,1588.39,5903.011,1490,0,179.884,0,277.782,1032.334
3,5,17,2,3,2,3,1,4,1,1,29314,1359.658,10033.084,0,1819.379,16101.878,4423,205.15,1513.827,0,274.514,2429.508
3,7,20,3,4,1,3,2,3,1,1,5985,350.004,697.874,0,891.461,4045.662,555,32.457,64.715,0,82.667,375.162
1,2,3,2,4,3,5,2,4,1,1,5994,273.826,240.497,0,1280.397,4199.279,1289,58.886,51.719,0,275.347,903.048
1,2,3,5,1,4,1,1,3,2,0,2705,0,155.091,0,586.395,1963.514,464,0,26.603,0,100.587,336.81
2,4,10,2,1,5,2,2,3,1,1,13273,0,513.828,0,2378.815,10380.357,1722,0,66.663,0,308.62,1346.717
3,7,21,5,3,5,1,1,1,1,0,10230,2725.247,2002.077,2035.128,1162.916,2304.633,1267,337.526,247.96,252.053,144.029,285.432
2,4,10,2,1,2,1,1,1,1,0,16979,9643.097,0,3137.563,309.512,3888.827,1540,874.632,0,284.578,28.073,352.718
1,1,1,3,1,5,1,1,2,1,0,9002,0,530.87,2459.867,1267.87,4743.393,1800,0,106.15,491.864,253.518,948.468
2,4,12,2,4,8,4,1,3,1,1,20893,4627.94,1876.534,4543.817,1108.423,8736.287,1908,422.635,171.37,414.952,101.224,797.819
4,10,26,2,2,2,2,1,2,0,1,4050,0,246.199,0,838.311,2965.49,536,0,32.583,0,110.947,392.47
4,10,26,5,2,6,4,1,2,1,0,3603,556.517,449.373,1147.211,235.554,1214.345,446,68.889,55.626,142.008,29.158,150.319
4,10,26,1,2,5,2,1,3,2,0,4518,0,0,0,578.601,3939.399,396,0,0,0,50.714,345.286
2,3,8,2,1,1,4,1,3,1,1,7273,0,48.532,0,661.144,6563.324,848,0,5.659,0,77.087,765.255
1,2,3,4,4,2,4,1,4,1,1,3160,0,0,0,742.806,2417.194,896,0,0,0,210.618,685.382
3,6,18,2,4,1,2,1,2,0,0,22424,0,2675.607,5778.132,2764.644,11205.617,1804,0,215.251,464.848,222.414,901.486
2,4,10,2,1,3,5,2,4,1,1,15944,0,556.589,4485.569,2115.854,8785.988,1601,0,55.889,450.414,212.461,882.236
2,4,12,4,4,4,2,1,2,1,1,6222,0,899.772,0,1303.379,4018.848,580,0,83.875,0,121.498,374.627
3,5,15,2,4,8,2,1,2,1,1,14869,3242.287,3482.111,2517.602,653.128,4973.872,1207,263.195,282.662,204.368,53.018,403.757
3,7,21,2,3,8,5,1,1,1,1,23633,2872.761,6639.883,3993.132,1733.525,8393.7,2926,355.676,822.083,494.389,214.628,1039.223
1,1,2,2,1,1,3,1,2,1,1,10352,1078.292,323.921,2039.369,600.769,6309.649,1654,172.285,51.755,325.842,95.988,1008.13
4,10,26,2,5,5,2,1,1,2,1,8319,0,384.956,0,1799.812,6134.232,742,0,34.336,0,160.531,547.133
4,10,27,2,5,6,3,1,4,0,0,9305,2185.205,105.08,2008.858,368.601,4637.257,651,152.882,7.352,140.544,25.788,324.434
4,8,22,2,1,4,1,2,2,1,0,8807,2158.06,843.475,936.938,1077.409,3791.119,862,211.224,82.556,91.704,105.453,371.062
2,3,9,2,1,6,2,1,3,1,1,9752,0,367.371,1774.287,745.246,6865.097,1247,0,46.976,226.88,95.295,877.848
3,5,16,2,4,8,2,2,5,1,1,23649,545.749,6915.989,2633.107,2583.191,10970.964,2045,47.193,598.046,227.693,223.376,948.692
2,3,6,3,1,6,2,1,2,1,1,4182,319.572,375.237,0,581.495,2905.696,592,45.238,53.118,0,82.316,411.328
4,8,23,2,1,6,5,1,6,1,1,11986,0,942.312,0,1200.581,9843.107,1175,0,92.376,0,117.694,964.93
4,10,26,2,2,2,3,1,1,2,1,2087,0,0,0,627.466,1459.534,187,0,0,0,56.222,130.778
1,1,2,2,1,1,3,1,2,0,0,5781,546.51,0,0,901.009,4333.481,1131,106.92,0,0,176.274,847.806
3,7,21,3,3,4,4,1,2,1,1,19243,2859.036,5299.246,3151.179,1278.096,6655.443,2383,354.055,656.244,390.233,158.276,824.192
2,4,11,2,4,5,3,1,5,1,1,13438,3422.204,565.601,0,641.318,8808.877,1309,333.358,55.095,0,62.471,858.076
3,7,21,5,3,4,1,1,1,1,0,2725,645.949,550.321,403.175,316.289,809.267,345,81.781,69.674,51.044,40.044,102.458
4,10,26,2,2,4,3,2,4,1,0,7748,0,1035.707,0,1513.163,5199.13,723,0,96.646,0,141.2,485.154
2,4,11,2,4,5,1,1,3,0,0,7776,0,689.08,961.154,674.564,5451.202,889,0,78.78,109.885,77.12,623.215
1,2,5,1,1,6,4,1,3,1,1,8779,455.86,481.415,2930.325,1003.587,3907.814,789,40.97,43.266,263.359,90.196,351.209
2,4,10,2,1,2,2,2,4,1,1,10809,0,1355.137,0,1256.941,8196.922,1318,0,165.239,0,153.266,999.495
1,2,3,5,4,1,2,1,1,1,0,3041,0,903.106,0,808.59,1329.304,829,0,246.221,0,220.452,362.418
1,2,3,4,1,5,2,1,1,1,0,1187,0,0,554.202,194.164,438.634,310,0,0,144.737,50.708,114.555
2,3,7,2,1,2,1,1,1,1,0,9837,0,586.078,0,2615.495,6635.427,1102,0,65.656,0,293.004,743.34
4,8,22,2,1,6,5,2,5,1,1,15074,0,1983.434,0,2962.861,10127.705,1488,0,195.791,0,292.473,999.736
2,3,7,2,1,3,4,1,4,1,1,10037,0,538.976,0,890.218,8607.805,1252,0,67.231,0,111.044,1073.724
4,10,26,2,5,3,1,1,1,0,0,3499,0,0,0,1546.911,1952.089,322,0,0,0,142.356,179.644
1,1,2,5,1,4,1,1,1,1,0,13827,5808.093,639.463,3546.758,1646.205,2186.481,2282,958.564,105.537,585.355,271.689,360.856
2,4,10,2,1,7,3,1,3,1,0,6885,0,687.697,0,630.952,5566.351,841,0,84.024,0,77.091,680.107
3,5,13,2,4,2,4,1,2,2,1,10761,458.728,1317.771,0,714.173,8270.328,1240,52.86,151.848,0,82.295,952.998
1,1,2,2,1,1,4,1,2,1,0,13667,0,235.66,3837.129,1481.635,8112.575,2277,0,39.262,639.288,246.849,1351.601
2,4,11,4,4,1,1,1,2,1,0,3463,422.548,335.485,0,727.662,1977.305,408,49.783,39.526,0,85.731,232.96
3,5,15,2,3,5,3,1,4,1,1,28935,3214.977,3522.171,4427.051,1677.679,16093.122,3049,338.775,371.146,466.497,176.784,1695.799
4,10,26,5,2,6,1,1,2,0,0,5345,0,1539.79,0,1807.903,1997.307,472,0,135.974,0,159.65,176.376
2,3,7,2,1,3,8,1,2,1,1,12501,5879.451,158.241,0,2215.89,4247.419,1329,625.053,16.823,0,235.575,451.549
3,5,17,5,3,4,1,1,2,1,0,4773,768.905,922.495,928.346,720.327,1432.928,617,99.395,119.25,120.006,93.116,185.233
4,10,26,2,2,1,3,1,3,1,0,7904,228.365,0,0,1260.537,6415.098,920,26.581,0,0,146.722,746.697
4,10,26,4,5,6,4,1,2,1,1,3449,156.665,0,1020.217,257.432,2014.685,400,18.169,0,118.32,29.856,233.654
3,7,21,2,3,6,3,1,2,1,1,13502,0,5679.529,0,830.371,6992.1,1672,0,703.316,0,102.828,865.856
3,7,21,2,3,4,2,1,5,1,1,25907,0,8085.425,0,1552.245,16269.33,3831,0,1195.633,0,229.538,2405.829
2,3,7,2,1,3,2,2,3,0,1,3115,0,0,0,750.429,2364.571,391,0,0,0,94.195,296.805
