Northeast Census Region,Midwest Census Region,South Census Region,West Census Region,,,,,,,,,,,,,,,,,,,,,,,
New England Census Divison,Middle Atlantic Census Divison,East North Central Census Divison,West North Census Divison,South Atlantic Census Divison,East South Central Census Divison,West South Central Census Divison,Mountain North Sub-Division,Mountain South Sub-Division,Pacific Census Division,,,,,,,,,,,,,,,,,
Connecticut-Maine-New Hampshire-Rhode Island-Vermont,Massachusetts,New York,New Jersey,Pennsylvania,Illinois,Indiana-Ohio,Michigan,Wisconsin,Iowa-Minnesota-North Dakota-South Dakota,Kansas-Nebraska,Missouri,Virginia,Delaware-District of Columbia-Maryland-West Virginia,Georgia,North Carolina-South Carolina,Florida,Alabama-Kentucky-Mississippi,Tennessee,Arkansas-Louisiana-Oklahoma,Texas,Colorado,Idaho-Montana-Utah-Wyoming,Arizona,Nevada-New Mexico,California,Alaska-Hawaii-Oregon-Washington
